Season,League,Club,Number,Name,Nat,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,New Club
2011,a003,Getafe,13,Jordi Codina,ESP,G,1.84,79,27-04-82,Barcelona,Real Madrid,
2011,a003,Getafe,14,Manu del Moral,ESP,F,1.86,77,25-02-84,Jaén,Atlético Madrid B,
2011,a003,Getafe,15,Rafa,ESP,D,1.83,72,9-4-85,Peñafiel,Valladolid,
2011,a003,Getafe,16,Pedro Ríos,ESP,M,1.77,72,12-12-81,Jerez de la Frontera,Xerez,
2011,a003,Getafe,17,Víctor Sánchez,ESP,D,1.74,73,8-9-87,Terrassa,Barcelona B,
2011,a003,Getafe,18,Derek Boateng,GHA,M,1.85,78,2-5-83,Accra,Köln,
2011,a003,Getafe,19,Javier Arizmendi,ESP,F,1.89,76,3-3-84,Madrid,Zaragoza,
2011,a003,Getafe,20,Pablo Pintos,URU,D,1.82,78,1-7-87,Montevideo,Lazio,
2011,a003,Getafe,21,Pedro Mosquera,ESP,M,1.83,77,21-04-88,La Coruña,Real Madrid B,
2011,a003,Getafe,22,Javi Casquero,ESP,M,1.8,73,19-08-76,Toledo,Racing Santander,
2011,a003,Getafe,23,Iván Marcano,ESP,D,1.77,77,23-06-87,Santander,Villarreal,
2011,a003,Getafe,24,Miguel Torres,ESP,D,1.84,78,28-01-86,Madrid,Real Madrid,
2011,a003,Getafe,27,Adrián Sardinero,ESP,F,1.75,60,13-10-90,Leganés,Getafe B,
2011,a003,Getafe,28,Alberto Escassi,ESP,M,1.83,70,28-02-89,Málaga,Getafe B,
2011,a003,Getafe,29,Álex Pérez,ESP,D,1.89,80,11-8-91,Madrid,Getafe B,
2011,a003,Getafe,31,Gonzalo,ESP,G,1.88,75,10-1-88,Madrid,Getafe B,
2011,a003,Getafe,33,Ángel Luis,ESP,M,,,18-06-92,,Getafe Juvenil A,
2011,a003,Getafe,34,Fundi,ESP,D,,,8-3-93,,Getafe Juvenil B,
2011,a003,Getafe,35,Pedro Alcalá,ESP,D,1.96,82,19-03-89,Mazarrón,Getafe B,
2011,a003,Getafe,36,Jesús,ESP,G,,,9-5-93,,Getafe Juvenil B,
2011,a003,Getafe,37,Adrián Cañas,ESP,M,,,17-06-92,,Getafe Juvenil A,
2011,a003,Getafe,12,Franck Signorino,ITA,D,1.73,60,19-09-81,Nogent-sur-Marne,Charleroi,
2011,a003,Hércules,1,Juan Catalayud,ESP,G,1.91,85,21-12-79,Málaga,Racing Santander,
2011,a003,Hércules,2,Cristian Pulhac,ROU,D,1.76,65,17-08-84,Iaşi,Dinamo Bucureşti,
2011,a003,Hércules,3,Juanra,ESP,D,1.83,78,24-04-80,Estivella,Numancia,
2011,a003,Hércules,4,Mohamed Adama Sarr,SEN,D,1.84,84,23-12-83,Dakar,Standard Liège,
2011,a003,Hércules,5,Abraham Paz,ESP,D,1.78,75,14-03-79,Santa María,Cádiz,
2011,a003,Hércules,6,Cristian,ESP,F,1.71,68,21-09-83,Barcelona,Deportivo La Coruña,
2011,a003,Hércules,7,Francisco Rufete,ESP,M,1.77,76,20-11-76,Benejucar,Espanyol,
2011,a003,Hércules,8,Francisco Javier Farinós,ESP,M,1.72,68,29-03-78,Valencia,Mallorca,
2011,a003,Hércules,9,Javier Portillo,ESP,F,1.8,70,30-03-82,Aranjuez,Osasuna,
2011,a003,Hércules,10,Tote,ESP,F,1.77,68,23-11-78,Madrid,Valladolid,
2011,a003,Hércules,11,Sendoa,ESP,M,1.76,75,31-12-75,Bilbao,Alicante,
2011,a003,Hércules,12,Royston Drenthe,NED,D,1.67,67,8-4-87,Rotterdam,Real Madrid,
2011,a003,Hércules,13,Unai Alba,ESP,G,1.9,84,19-02-78,Oiartzun,Athletic Bilbao,
2011,a003,Hércules,14,Abel Aguilar,COL,M,1.85,82,6-1-85,Santa Fe de Bogota,Udinese,
2011,a003,Hércules,15,Kiko Femenia,ESP,D,1.74,61,2-2-91,Sanet y Negrals,Hércules B,
2011,a003,Hércules,16,Paco Peña,ESP,D,1.7,64,25-07-78,Jerez de los Caballeros,Murcia,
2011,a003,Hércules,17,David Trézéguet,FRA,F,1.9,80,15-10-77,Rouen,Juventus,
2011,a003,Hércules,18,Matías Fritzler,ARG,M,1.79,73,23-08-86,Lomas de Zamora,Lanús,
2011,a003,Hércules,20,Nelson Haedo Valdez,PAR,F,1.78,71,28-11-83,Caaguazú,Borussia Dortmund,
2011,a003,Hércules,21,David Cortés,ESP,D,1.81,74,29-08-79,Badajoz,Getafe,
2011,a003,Hércules,22,Olivier Thomert,FRA,F,1.88,84,28-05-80,Versailles,Le Mans,
2011,a003,Hércules,23,Noé Pamarot,FRA,D,1.8,86,14-04-79,Fontenay-sous-Bois,Portsmouth,
2011,a003,Hércules,24,Tiago Gomes,POR,M,1.81,76,18-08-85,Vila Franca de Xira,Estrela da Amadora,
2011,a003,Hércules,25,Piet Velthuizen,NED,G,1.89,88,3-11-86,Nijmegen,Vitesse,
2011,a003,Hércules,26,Jesús Pastor,VEN,M,,,27-04-93,Caracas,Hércules B,
2011,a003,Hércules,27,Jabo,ESP,F,,,5-2-93,,Hércules B,
2011,a003,Hércules,28,Borja,ESP,D,,,,,Hércules B,
2011,a003,Hércules,29,Luis Carlos,ESP,F,,,16-12-90,,Hércules B,
2011,a003,Hércules,30,Álex,ESP,G,1.8,78,18-06-89,,Hércules B,
2011,a003,Hércules,31,Pepe Sellés,ESP,D,,,25-10-93,Alicante,Hércules B,
2011,a003,Hércules,32,Sergio Poveda,ESP,F,1.89,85,18-11-88,Aspe,Hércules B,
2011,a003,Hércules,19,Rodri,ESP,D,1.85,78,17-08-84,Mataró,,Spartak Moscow
2011,a003,Levante,1,Manolo Reina,ESP,G,1.85,80,1-4-85,Villaneuva del Trabuco,Málaga B,
2011,a003,Levante,2,Cerra,ESP,D,1.77,68,4-8-83,Valencia,Valencia B,
2011,a003,Levante,3,Nano,ESP,D,1.86,79,7-7-80,Ciudad Real,Betis,
2011,a003,Levante,4,Héctor Rodas,ESP,D,1.9,80,7-3-88,Valencia,Levante B,
2011,a003,Levante,5,Miquel Robusté,ESP,D,1.85,80,20-05-85,Vilassar de Mar,Espanyol B,
2011,a003,Levante,6,Miguel Pallardó,ESP,M,1.73,73,5-6-86,Valencia,Getafe,
2011,a003,Levante,7,Xisco Nadal,ESP,F,1.81,81,27-06-86,Mallorca,Villarreal,
2011,a003,Levante,8,Gorka Larrea,ESP,M,1.82,70,7-4-84,San Sebastián,Real Sociedad,
2011,a003,Levante,9,Rafa Jordá,ESP,F,1.92,80,11-1-84,Santa Perpetua,Hércules,
2011,a003,Levante,10,Vicente Iborra,ESP,F,1.9,76,16-01-88,Moncada,Levante B,
2011,a003,Levante,11,Wellington Silva,BRA,F,1.7,64,6-1-93,Rio de Janeiro,Arsenal,
2011,a003,Levante,12,Juanfran,ESP,D,1.82,73,15-07-76,Valencia,AEK,
2011,a003,Levante,13,Gustavo Munúa,URU,G,1.88,87,27-01-78,Montevideo,Málaga,
2011,a003,Levante,14,Xavi Torres,ESP,M,1.82,76,21-11-86,Jávea,Málaga,
2011,a003,Levante,15,Asier Del Horno,ESP,D,1.83,72,19-01-81,Barakaldo,Valencia,
2011,a003,Levante,16,Sergio González,ESP,M,1.82,77,10-11-76,Barcelona,Deportivo La Coruña,
2011,a003,Levante,17,Javi Venta,ESP,D,1.8,74,13-12-75,Oviedo,Villarreal,
2011,a003,Levante,18,Sergio Ballesteros,ESP,D,1.88,93,4-9-75,Valencia,Mallorca,
2011,a003,Levante,19,Xisco,ESP,F,1.75,69,5-9-80,Manacor,Betis,
2011,a003,Levante,20,Juanlu,ESP,F,1.72,70,8-5-80,Málaga,Betis,
2011,a003,Levante,21,Rubén,ESP,M,1.67,67,19-02-79,Gijón,Elche,
2011,a003,Levante,22,Christian Stuani,URU,F,1.85,74,12-10-86,Tala,Reggina,
2011,a003,Levante,23,Valdo,ESP,M,1.83,78,23-04-81,Villablino,Espanyol,
2011,a003,Levante,24,Jefferson Montero,ECU,F,1.7,70,1-9-89,Babahoyo,Villarreal,
2011,a003,Levante,25,Felipe Caicedo,ECU,F,1.85,78,5-9-88,Guayaquil,Manchester C,
2011,a003,Levante,26,Sergio Garabato,ESP,G,1.87,98,16-05-89,Valencia,Valencia B,
2011,a003,Levante,27,Adrián Lois,ESP,M,1.76,72,12-2-89,Valencia,Levante B,
2011,a003,Levante,28,Mossa,ESP,D,1.78,66,24-01-89,Valencia,Levante B,
2011,a003,Levante,29,Antonio López,ESP,D,1.86,79,5-9-89,Puerto Lumbreras,Levante B,
2011,a003,Levante,30,José Marco Higón,ESP,M,1.73,65,22-05-91,Valencia,Levante B,
2011,a003,Levante,31,Mono,ESP,M,1.76,70,1-3-89,Valencia,Levante B,
2011,a003,Levante,11,Miguel Pérez,ESP,M,1.76,71,28-05-80,Madrid,,De-Registered
2011,a003,Levante,24,Nacho González,URU,M,1.8,73,14-05-82,Montevideo,,Valencia
2011,a003,Málaga,1,Francesc Arnau,ESP,G,1.86,83,23-03-75,Les Planes,Barcelona,
2011,a003,Málaga,2,Jesús Gámez,ESP,D,1.82,70,10-4-85,Fuengirola,Málaga B,
2011,a003,Málaga,3,Weligton,BRA,D,1.86,78,26-08-79,Fernandopolis,Grasshoppers,
2011,a003,Málaga,4,Manu,ESP,D,1.86,76,14-08-89,Málaga,Málaga B,
2011,a003,Málaga,5,Martin Demichelis,ARG,D,1.84,78,20-12-80,Justiniano Posse,Bayern Munich,
2011,a003,Málaga,6,Júlio Baptista,BRA,M,1.83,72,1-10-81,São Paulo,Roma,
2011,a003,Málaga,8,Fernando,ESP,M,1.81,76,2-6-79,Málaga,Betis,
2011,a003,Málaga,10,Apoño,ESP,M,1.73,69,13-02-84,Málaga,Marbella,
2011,a003,Málaga,11,Sebastián Fernández,URU,F,1.67,69,23-05-85,Montevideo,Banfield,
2011,a003,Málaga,12,Kris Stadsgaard,DEN,D,1.85,78,1-8-85,Copenhagen,Rosenborg,
2011,a003,Málaga,13,Wilfredo Caballero,ARG,G,1.85,83,28-09-81,Salta Elena,Elche,
2011,a003,Málaga,14,Hélder Rosário,POR,D,1.85,81,9-3-80,Lisbon,Boavista,
2011,a003,Málaga,15,Javier Malagueño,ARG,D,1.84,82,27-10-82,Cosquín,Indios de Ciudad Juárez,
2011,a003,Málaga,16,Enzo Maresca,ITA,M,1.8,77,10-2-80,Salerno,Olympiakos,
2011,a003,Málaga,17,Duda,POR,M,1.8,76,27-06-80,Lisbon,Sevilla,
2011,a003,Málaga,18,Eliseu,POR,F,1.75,75,1-10-83,Acoras,Lazio,
2011,a003,Málaga,19,Patrick Mtiliga,DEN,D,1.72,73,28-01-81,Copenhagen,NAC Breda,
2011,a003,Málaga,20,Manolo,ESP,D,1.76,72,3-2-81,Málaga,Levante,
2011,a003,Málaga,22,Sandro Silva,BRA,M,1.86,76,29-04-84,Rio de Janeiro,Botafogo,
2011,a003,Málaga,23,José Salomón Rondón,VEN,F,1.9,86,16-09-89,Caracas,Las Palmas,
2011,a003,Málaga,24,Ignacio Camacho,ESP,M,1.81,68,4-5-90,Zaragoza,Atlético Madrid,
2011,a003,Málaga,25,Rubén,ESP,G,1.87,82,22-06-84,La Coruña,Cartagena,
2011,a003,Málaga,26,Juanmi,ESP,F,1.69,63,20-05-93,Coín,Málaga Juvenil,
2011,a003,Málaga,27,Francisco Portillo,ESP,M,1.69,63,13-06-90,Málaga,Málaga B,
2011,a003,Málaga,28,Francisco Mancilla,ESP,G,1.82,84,19-01-88,Coín,Málaga B,
2011,a003,Málaga,29,Jona,ESP,D,1.94,95,24-01-90,Marbella,Málaga B,
2011,a003,Málaga,30,Jurado,ESP,D,1.73,61,14-03-90,Málaga,Málaga B,
2011,a003,Málaga,31,Omar,ESP,D,1.8,74,2-6-88,Gijón,Málaga B,
2011,a003,Málaga,36,Juanfri,ESP,F,1.81,75,1-10-89,Fuengirola,Málaga B,
2011,a003,Málaga,37,Cala,ESP,M,1.72,65,2-3-90,Antequera,Málaga B,
2011,a003,Málaga,45,Recio,ESP,M,1.83,74,11-1-91,Málaga,Málaga B,
2011,a003,Málaga,5,Albert Luque,ESP,F,1.83,80,11-3-78,Barcelona,,
2011,a003,Málaga,24,Juanito,ESP,M,1.86,78,17-02-80,Málaga,,Almería
2011,a003,Málaga,16,Edu Ramos,ESP,M,1.76,71,17-02-92,Churriana,,Leganés (On Loan)
2011,a003,Málaga,13,Galatto,BRA,G,1.91,88,10-4-83,Porto Alegre,,De-Registered
2011,a003,Málaga,6,Iván González,ESP,D,1.84,80,15-02-88,Málaga,,Real Madrid B (On Loan)
2011,a003,Málaga,7,Nabil Baha,MAR,F,1.81,76,12-8-81,Paris,,AEK
2011,a003,Málaga,9,Edinho,POR,F,1.85,74,7-7-82,Aveiro,,Marítimo (On Loan)
2011,a003,Málaga,13,Sergio Asenjo,ESP,G,1.82,85,28-06-89,Palencia,,Atlético Madrid
2011,a003,Málaga,21,Quincy Owusu-Abeyie,GHA,F,1.8,74,15-04-86,Amsterdam,,Al-Sadd
2011,a003,Mallorca,1,Germán Lux,ARG,G,1.86,77,6-7-82,Carcarañá,River Plate,
2011,a003,Mallorca,3,João Victor,BRA,M,1.81,77,7-11-88,Olinda,Bunyodkor,
2011,a003,Mallorca,4,Iván Ramis,ESP,D,1.88,82,25-10-84,Sa Pobla,Mallorca B,
2011,a003,Mallorca,5,Rubén González,ESP,D,1.87,75,29-01-82,Santiago de Compostela,Celta Vigo,
2011,a003,Mallorca,7,Michael Pereira,FRA,M,1.8,69,8-12-87,Paris,Mallorca B,
2011,a003,Mallorca,8,Emilio Nsue,ESP,F,1.78,75,30-09-89,Palma de Mallorca,Mallorca B,
2011,a003,Mallorca,9,Pierre Webó,CMR,F,1.8,78,20-01-82,Bafoussan,Osasuna,
2011,a003,Mallorca,11,Gonzalo Castro,URU,M,1.76,70,14-09-84,Trinidad,Nacional [URU],
2011,a003,Mallorca,13,Dudu Aouate,ISR,G,1.88,84,17-10-77,Haifa,Deportivo La Coruña,
2011,a003,Mallorca,14,Akihiro Ienaga,JPN,M,1.73,70,13-06-86,Hyogo,Gamba Osaka,
2011,a003,Mallorca,16,José Nunes,POR,D,1.85,82,7-3-77,Castelo de Pavia,Sporting Braga,
2011,a003,Mallorca,17,Ayoze,ESP,D,1.75,70,25-05-82,La Laguna,Racing Santander,
2011,a003,Mallorca,18,Víctor,ESP,F,1.8,77,28-02-85,Palma de Mallorca,Mallorca B,
2011,a003,Mallorca,19,José Luis Martí,ESP,M,1.8,74,28-04-75,Palma de Mallorca,Sevilla,
2011,a003,Mallorca,20,Jonathan de Guzmán,NED,M,1.73,65,13-09-87,Scarborough [CAN],Feyenoord,
2011,a003,Mallorca,21,Martí Crespi,ESP,D,1.81,78,15-06-87,Mallorca,Mallorca B,
2011,a003,Mallorca,22,Pau Cendrós,ESP,D,1.76,71,1-4-87,Palma de Mallorca,Mallorca B,
2011,a003,Mallorca,23,Enrique Corrales,ESP,D,1.75,70,1-3-82,Seville,Osasuna,
2011,a003,Mallorca,26,Sergi Enrich,ESP,F,1.81,77,26-02-90,Ciutadella,Mallorca B,
2011,a003,Mallorca,27,Sergio Tejera,ESP,M,1.83,76,28-05-90,Barcelona,Chelsea,
2011,a003,Mallorca,28,Tomás Pina,ESP,M,1.84,75,14-10-87,Madrid,Mallorca B,
2011,a003,Mallorca,29,Kevin,ESP,D,1.77,72,8-9-89,Peguera,Mallorca B,
2011,a003,Mallorca,30,Tomeu Nadal,ESP,G,1.9,77,8-2-89,Manacor,Mallorca B,
2011,a003,Mallorca,31,Abdón,ESP,F,1.78,76,17-12-92,Arta,Mallorca B,
2011,a003,Mallorca,33,Ximo,ESP,D,1.76,70,23-01-90,Palma de Mallorca,Mallorca B,
2011,a003,Mallorca,15,Tuni,ESP,F,1.81,72,14-06-82,Sóller,,Nàstic (On Loan)
2011,a003,Mallorca,10,Fernando Cavenaghi,ARG,F,1.81,78,21-09-83,O'Brien,,Bordeaux
2011,a003,Mallorca,2,Edson Ratinho,BRA,D,1.7,62,31-05-86,João Pessoa,,São Paulo (On Loan)
2011,a003,Osasuna,1,Ricardo,ESP,G,1.87,88,30-12-71,Madrid,Manchester U,
2011,a003,Osasuna,2,Nélson,POR,D,1.72,65,10-6-83,Praia,Betis,
2011,a003,Osasuna,3,Nacho Monreal,ESP,D,1.78,72,26-02-86,Pamplona,Osasuna B,
2011,a003,Osasuna,4,Miguel Flaño,ESP,D,1.77,72,19-08-84,Pamplona,Osasuna B,
2011,a003,Osasuna,5,Lolo,ESP,D,1.82,80,22-08-84,Huelva,Sevilla,
2011,a003,Osasuna,6,Javad Nekounam,IRN,M,1.86,78,7-9-80,Shar Rey,Sharjah FC,
2011,a003,Osasuna,7,Carlos Aranda,ESP,F,1.86,82,27-07-80,Málaga,Numancia,
2011,a003,Osasuna,8,Masoud Shojaei,IRN,M,1.84,73,9-6-84,Shiraz,Al Sharjah,
2011,a003,Osasuna,9,Dejan Lekić,SRB,F,1.93,88,7-6-85,Kraljevo,Crvena Zvezda,
2011,a003,Osasuna,10,Patxi Puñal,ESP,M,1.79,73,6-9-75,Pamplona,Leganés,
2011,a003,Osasuna,11,Walter Pandiani,URU,F,1.84,75,27-04-76,Montevideo,Espanyol,
2011,a003,Osasuna,12,Ferrán Corominas,ESP,F,1.71,70,5-1-83,Girona,Espanyol,
2011,a003,Osasuna,13,Asier Riesgo,ESP,G,1.85,70,6-10-83,Deba,Real Sociedad,
2011,a003,Osasuna,14,Josetxo,ESP,D,1.85,79,25-02-77,Pamplona,Osasuna B,
2011,a003,Osasuna,15,Oier Sanjurjo,ESP,M,1.78,66,25-05-86,Pamplona,Osasuna B,
2011,a003,Osasuna,16,Álvaro Cejudo,ESP,M,1.8,72,29-01-84,Puente Genil,Las Palmas,
2011,a003,Osasuna,17,Javier Camuñas,ESP,M,1.73,71,17-07-80,Madrid,Recreativo Huelva,
2011,a003,Osasuna,18,Kike Sola,ESP,F,1.84,84,25-02-86,Tudela,Osasuna B,
2011,a003,Osasuna,19,Javier Calleja,ESP,M,1.72,70,12-5-78,Madrid,Málaga,
2011,a003,Osasuna,20,Fernando Soriano,ESP,M,1.89,81,24-09-79,Zaragoza,Almería,
2011,a003,Osasuna,21,Krisztián Vadócz,HUN,M,1.88,83,30-05-85,Budapest,NEC Nijmegen,
2011,a003,Osasuna,22,Ruper,ESP,M,1.8,76,4-6-87,Estella,Osasuna B,
2011,a003,Osasuna,23,Sergio Fernández,ESP,D,1.91,81,23-05-77,Avilés,Zaragoza,
2011,a003,Osasuna,24,Damiá,ESP,D,1.88,77,15-04-82,Figueras,Betis,
2011,a003,Osasuna,26,Nacho Zabal,ESP,G,1.94,89,14-02-87,Logroño,Osasuna B,
2011,a003,Osasuna,27,Ekhi Senar,ESP,D,1.8,76,26-04-90,Pamplona,Osasuna B,
2011,a003,Osasuna,28,Xavier Annunziata,ESP,M,1.74,63,31-08-87,Santa Cruz de Tenerife,Osasuna B,
2011,a003,Osasuna,30,David Tímor,ESP,M,1.85,77,17-10-89,Valencia,Valencia B,
2011,a003,Osasuna,16,Ion Echaide,ESP,D,1.79,78,5-1-88,Pamplona,,Huesca (On Loan)
2011,a003,Osasuna,12,Juanfran,ESP,D,1.8,72,9-1-85,Crevillent,,Atlético Madrid
2011,a003,Racing Santander,1,Fabio Coltorti,SUI,G,1.97,95,3-12-80,Kriens,Grasshoppers,
2011,a003,Racing Santander,2,Henrique,BRA,D,1.85,73,14-10-86,Marechal Cândido Róndon,Barcelona,
2011,a003,Racing Santander,3,Christian,ESP,D,1.82,77,15-10-85,Santander,Racing B,
2011,a003,Racing Santander,4,Osmar Barba,ESP,D,1.92,84,8-6-88,Santoña,Racing B,
2011,a003,Racing Santander,5,Mehdi Lacen,ALG,M,1.76,74,15-03-84,Versailles,Alavés,
2011,a003,Racing Santander,6,Domingo Cisma,ESP,D,1.84,76,9-2-82,Seville,Almería,
2011,a003,Racing Santander,7,Manuel Arana,ESP,M,1.75,72,3-12-84,Seville,Castellón,
2011,a003,Racing Santander,8,Gonzalo Colsa,ESP,M,1.85,77,11-5-79,Ramales de la Victoria,Atlético Madrid,
2011,a003,Racing Santander,9,Iván Bolado,ESP,F,1.8,75,3-7-89,Santander,Racing B,
2011,a003,Racing Santander,10,Pedro Munitis,ESP,F,1.67,70,19-06-75,Santander,Deportivo La Coruña,
2011,a003,Racing Santander,11,Óscar Serrano,ESP,M,1.75,73,30-09-81,Blanes,Espanyol,
2011,a003,Racing Santander,12,Markus Rosenberg,SWE,F,1.85,80,27-09-82,Malmö,Werder Bremen,
2011,a003,Racing Santander,13,Toño,ESP,G,1.82,81,17-12-79,Alicante,Recreativo Huelva,
2011,a003,Racing Santander,14,Pablo Pinillos,ESP,D,1.73,71,9-7-74,Logroño,Levante,
2011,a003,Racing Santander,15,Francis,ESP,M,1.79,70,17-12-81,Barbate,Xerez,
2011,a003,Racing Santander,16,Kennedy Bakırcıoğlu,SWE,M,1.81,71,2-11-80,Södertälje,Ajax,
2011,a003,Racing Santander,17,Giovani dos Santos,MEX,M,1.73,77,11-5-89,Monterrey,Tottenham H,
2011,a003,Racing Santander,19,Marc Torrejón,ESP,D,1.87,87,18-02-86,Barcelona,Espanyol,
2011,a003,Racing Santander,20,Alexandros Tziolis,GRE,M,1.89,84,13-02-85,Katerini,Siena,
2011,a003,Racing Santander,21,Papakouli Diop,SEN,M,1.8,73,19-03-86,Kaolack,Nàstic,
2011,a003,Racing Santander,22,Ariel Nahuelpán,ARG,F,1.9,87,15-10-87,Capital Federal,Coritiba,
2011,a003,Racing Santander,23,Adrián González,ESP,M,1.83,76,25-05-88,Madrid,Getafe,
2011,a003,Racing Santander,25,Mario Fernández,ESP,G,1.84,74,30-04-88,Santander,Racing B,
2011,a003,Racing Santander,28,Ramón Arcas,ESP,M,1.82,75,25-01-91,Águilas,Racing B,
2011,a003,Racing Santander,30,Julián Luque,ESP,F,1.75,73,27-03-92,Torrelavega,Racing B,
2011,a003,Racing Santander,32,Tato,ESP,M,1.78,69,9-7-92,Santander,Racing B,
2011,a003,Racing Santander,33,Álvaro González,ESP,D,1.8,68,8-1-90,Potes,Racing B,
2011,a003,Racing Santander,7,Mohamed Tchité,BEL,F,1.76,69,31-01-84,Bujumbura,,Standard Liège
2011,a003,Racing Santander,24,Waldo Ponce,CHI,D,1.8,69,4-12-82,Los Andes,,O'Higgins
2011,a003,Racing Santander,18,Edu Bedia,ESP,M,1.84,74,23-03-89,Santander,,Salamanca (On Loan)
2011,a003,Real Madrid,1,Iker Casillas,ESP,G,1.85,79,20-05-81,Madrid,Real Madrid B,
2011,a003,Real Madrid,2,Ricardo Carvalho,POR,D,1.83,76,18-05-78,Amarante,Chelsea,
2011,a003,Real Madrid,3,Pepe,POR,D,1.86,72,26-02-83,Maceió,FC Porto,
2011,a003,Real Madrid,4,Sergio Ramos,ESP,D,1.83,73,30-03-86,Camas,Sevilla,
2011,a003,Real Madrid,5,Fernando Gago,ARG,M,1.78,69,10-4-86,Ciudadela,Boca Juniors,
2011,a003,Real Madrid,6,Emmanuel Adebayor,TOG,F,1.91,75,26-02-84,Lomé,Manchester C,
2011,a003,Real Madrid,7,Cristiano Ronaldo,POR,F,1.86,75,5-2-85,Funchal,Manchester U,
2011,a003,Real Madrid,8,Kaká,BRA,M,1.86,83,22-04-82,Brasília,Milan,
2011,a003,Real Madrid,9,Karim Benzema,FRA,F,1.82,74,19-12-87,Lyon,Lyon,
2011,a003,Real Madrid,10,Lassana Diarra,FRA,M,1.73,68,10-3-85,Paris,Portsmouth,
2011,a003,Real Madrid,11,Esteban Granero,ESP,M,1.79,77,2-7-87,Madrid,Getafe,
2011,a003,Real Madrid,12,Marcelo,BRA,D,1.74,73,12-5-88,Rio de Janeiro,Fluminense,
2011,a003,Real Madrid,13,Antonio Adán,ESP,G,1.89,91,13-05-87,Madrid,Real Madrid B,
2011,a003,Real Madrid,14,Xabi Alonso,ESP,M,1.83,75,25-11-81,Tolosa,Liverpool,
2011,a003,Real Madrid,16,Sergio Canales,ESP,M,1.76,65,16-02-91,Santander,Racing Santander,
2011,a003,Real Madrid,17,Álvaro Arbeloa,ESP,D,1.83,76,17-01-83,Salamanca,Liverpool,
2011,a003,Real Madrid,18,Raúl Albiol,ESP,D,1.87,74,4-9-85,Valencia,Valencia,
2011,a003,Real Madrid,19,Ezequiel Garay,ARG,D,1.89,83,10-10-86,Rosario,Racing Santander,
2011,a003,Real Madrid,20,Gonzalo Higuaín,ARG,F,1.84,75,10-12-87,Brest,River Plate,
2011,a003,Real Madrid,21,Pedro León,ESP,M,1.82,70,24-11-86,Mula,Getafe,
2011,a003,Real Madrid,22,Ángel Di Maria,ARG,M,1.78,75,14-02-88,Rosario,Benfica,
2011,a003,Real Madrid,23,Mesut Özil,GER,M,1.82,73,15-10-88,Gelsenkirchen,Werder Bremen,
2011,a003,Real Madrid,24,Sami Khedira,GER,M,1.89,83,4-4-87,Stuttgart,Stuttgart,
2011,a003,Real Madrid,25,Jerzy Dudek,POL,G,1.87,78,23-03-73,Rybnik,Liverpool,
2011,a003,Real Madrid,26,Juan Carlos,ESP,M,1.76,68,30-03-90,Madrid,Real Madrid B,
2011,a003,Real Madrid,27,Juanfran,ESP,F,1.78,69,27-04-87,Madrid,Real Madrid B,
2011,a003,Real Madrid,28,Jesús Fernández,ESP,G,1.89,79,11-6-88,Madrid,Real Madrid B,
2011,a003,Real Madrid,29,Álvaro Morata,ESP,F,1.87,80,23-10-92,Madrid,Real Madrid B,
2011,a003,Real Madrid,30,Álex Fernández,ESP,M,1.8,68,15-10-92,Madrid,Real Madrid B,
2011,a003,Real Madrid,31,Isaac Becerra,ESP,G,1.83,84,18-06-88,Badalona,Espanyol B,
2011,a003,Real Madrid,32,Fernando Pacheco,ESP,G,1.87,81,18-05-92,Badajoz,Real Madrid C,
2011,a003,Real Madrid,33,Pablo Sarabia,ESP,M,1.77,72,11-5-92,Madrid,Real Madrid B,
2011,a003,Real Madrid,34,Jorge Casado,ESP,D,1.83,77,26-06-89,Madrid,Real Madrid B,
2011,a003,Real Madrid,35,Nacho Fernández,ESP,D,1.8,74,18-01-90,Madrid,Real Madrid B,
2011,a003,Real Madrid,36,Pablo Gil,ESP,D,1.75,69,8-10-88,Murcia,Albacete B,
2011,a003,Real Madrid,37,Daniel Carvajal,ESP,D,1.73,70,11-1-92,Leganés,Real Madrid B,
2011,a003,Real Madrid,38,Mandi,ESP,M,1.78,74,1-3-89,Las Palmas,Real Madrid B,
2011,a003,Real Madrid,39,Joselu,ESP,F,1.91,79,27-03-90,Stuttgart,Celta Vigo B,
2011,a003,Real Madrid,40,Tomás Mejías,ESP,G,1.94,81,30-01-89,Madrid,Real Madrid B,
2011,a003,Real Madrid,41,Óscar Plano,ESP,F,1.8,68,11-2-91,Móstoles,Real Madrid B,
2011,a003,Real Madrid,6,Mahamadou Diarra,MLI,M,1.83,76,18-05-81,Bamako,,Monaco
2011,a003,Real Madrid,15,David Mateos,ESP,D,1.9,82,22-04-87,Madrid,,AEK (On Loan)
2011,a003,Real Sociedad,1,Claudio Bravo,CHI,G,1.84,84,13-04-83,Viluco,Colo Colo,
2011,a003,Real Sociedad,2,Carlos Martínez,ESP,D,1.88,78,9-4-86,Estella,Real Sociedad B,
2011,a003,Real Sociedad,3,Mikel González,ESP,D,1.88,78,24-09-85,Mondragón,Real Sociedad B,
2011,a003,Real Sociedad,4,Gorka Elustondo,ESP,M,1.82,73,18-03-87,Beasain,Real Sociedad B,
2011,a003,Real Sociedad,5,Markel Bergara,ESP,M,1.8,74,5-5-86,Elgoibar,Real Sociedad B,
